"intent","text"
"Agree","I am sure"
"Agree","I assent"
"Agree","I consent"
"Agree","It  s a good idea"
"Agree","It is ok"
"Agree","OK,  I want to retrieval my hub ID"
"Agree","OK, I d like reset my password too"
"Agree","OK, I need to retrieve username"
"Agree","OK, I need your agent help"
"Agree","OK, I want to recovery my password"
"Agree","OK, I would like to recovery of my password"
"Agree","OK, I would like to retrieval  of my ID"
"Agree","OK, help me please"
"Agree","OK, please help me to recover my pwd"
"Agree","OK, please help me to retrieve my Hub iD"
"Agree","OK, please help me to retrieve my Hub iD"
"Agree","OK, pls reset my pwd"
"Agree","OK, pls send me my ID"
"Agree","OK, pls send me my pwd"
"Agree","OK, recover my hub ID please"
"Agree","OK, recover my password for my ID  please"
"Agree","OK, reset my pwd pls"
"Agree","OK, send me my hub ID pls"
"Agree","OK, send me my pwassword pls"
"Agree","Of course, I need"
"Agree","Ok"
"Agree","Ok, please help me to recover my password"
"Agree","Ok, pls call me soonest"
"Agree","Yep, I need to retrieve username"
"Agree","Yep, I would like to retrieval  of my ID"
"Agree","Yep, pls help"
"Agree","Yep, pls reset my pwd"
"Agree","Yep, that  s fine"
"Agree","Yep, that is right"
"Agree","Yep,that is good"
"Agree","Yes"
"Agree","Yes, I  d like"
"Agree","Yes, I agree"
"Agree","Yes, I am not sure for my nric/Fin"
"Agree","Yes, I am not sure for my postal code"
"Agree","Yes, I do"
"Agree","Yes, I dont remember my postal code"
"Agree","Yes, I don’t remember my Nric/Fin"
"Agree","Yes, I don’t remember my pwd"
"Agree","Yes, I lost my ID"
"Agree","Yes, I lost my pwd"
"Agree","Yes, I want to recovery my password"
"Agree","Yes, I want to retrieval my hub ID"
"Agree","Yes, I want to retrieve my ID too"
"Agree","Yes, I want to retrieve my pwd too"
"Agree","Yes, I would like"
"Agree","Yes, I would like to recover pass"
"Agree","Yes, please help"
"Agree","Yes, please show full for me"
"Agree","Yes, you can assist me to get my ID back"
"Agree","Yes, you can assist me to get my pwd back"
"Agree","absolutely"
"Agree","accept"
"Agree","affirmative"
"Agree","agreed"
"Agree","assent"
"Agree","assuredly"
"Agree","aye"
"Agree","consent"
"Agree","exactly"
"Agree","great, please show full"
"Agree","it  s fine"
"Agree","it  s ok"
"Agree","no problem"
"Agree","of course, thanks a lot"
"Agree","ok, I need my hub ID in full"
"Agree","ok, I need to talk with your agent"
"Agree","ok, Why my Nric/Fin is not correct"
"Agree","ok, assist me to get my hub ID back"
"Agree","ok, help me to get back hub ID"
"Agree","ok, help me to get back pwd"
"Agree","ok, how I can recover my pwd"
"Agree","ok, how I can retrieve my hub ID"
"Agree","ok, please assist with retrieve your Hub iD"
"Agree","ok, please assist with retrieve your password"
"Agree","ok, please contact with  me immediately"
"Agree","ok, please help me to get ID login back"
"Agree","ok, please help me to get password for login"
"Agree","ok, please resend my account"
"Agree","ok, please resend my password"
"Agree","ok, please show  full it for me"
"Agree","ok, pls"
"Agree","ok, pls help"
"Agree","ok, pls show my hub ID in full"
"Agree","ok, recover my pwd pls"
"Agree","ok, retrieve my hub ID pls"
"Agree","ok, someone please help me"
"Agree","ok, what is my ID?"
"Agree","ok, what is my password?"
"Agree","ok, why my date of birth is not correct"
"Agree","ok, why my fullname is not correct"
"Agree","ok, why my postal code is incorrect"
"Agree","ok,it is great"
"Agree","okey, please show it in full"
"Agree","right"
"Agree","right on"
"Agree","right. I forgot my login ID"
"Agree","roger"
"Agree","roger"
"Agree","sure, I need to full ID to login"
"Agree","sure, please,thanks"
"Agree","sure, pls show full"
"Agree","uh-huh"
"Agree","very well"
"Agree","willingly"
"Agree","yeah"
"Agree","yep"
"Agree","yep, I don’t remember my hub ID too"
"Agree","yep, I don’t remember my password"
"Agree","yep, I forget my account"
"Agree","yep, I forgot my pwd for ID"
"Agree","yep, I need to see my hub ID in full"
"Agree","yep, please get my pwd back"
"Agree","yep, pls contact by phone number or email"
"Agree","yep, pls for me full my ID"
"Agree","yep, pls show my hub ID in full"
"Agree","yes, I dont know why my  postal code  does not match with your record"
"Agree","yes, I dont know why my date of birth doent match with your record"
"Agree","yes, I dont know why my full name doent match with your record"
"Agree","yes, I don’t remember my ID"
"Agree","yes, I need full hub Id"
"Agree","yes, I need full my ID"
"Agree","yes, I want to"
"Agree","yes, I would like to recovery of my password"
"Agree","yes, I would like to see full"
"Agree","yes, agent can call me soonest please"
"Agree","yes, display my ID in full pls"
"Agree","yes, please get my ID back"
"Agree","yes, please provide my pwd"
"Agree","yes, please reset my login ID"
"Agree","yes, please reset my login password"
"Agree","yes, pls assist me recover my pwd"
"Agree","yes, pls assist me retrieve my hub ID"
"Agree","yes, pls get back via email"
"Agree","yes, pls help to recover my password"
"Agree","yes, pls provide my ID"
"Agree","yes, that is fine"
"Agree","yes, you can contact with me by call or email"
"Agree","yessir"
"Agree","yup"
"Disagree","I don’t agree"
"Disagree","I don’t like this"
"Disagree","I don’t need"
"Disagree","I refuse"
"Disagree","I reject"
"Disagree","No"
"Disagree","No need show in full.thanks"
"Disagree","No need, I can remember my ID"
"Disagree","No need, I can remember my hub ID.thanks a lot"
"Disagree","No need, I can remember my pwd"
"Disagree","No need, I can remember with your suggestion"
"Disagree","No need, I d remember my hub ID. Thanks for help"
"Disagree","No need, I sure it is correct"
"Disagree","No need,I can talk with you"
"Disagree","No need,thanks"
"Disagree","No, I am not sure"
"Disagree","No, I am sure about my DOB"
"Disagree","No, I am sure about my Nric"
"Disagree","No, I am sure about my fullname"
"Disagree","No, I am sure about my postal code"
"Disagree","No, I can remember my ID"
"Disagree","No, I can remember password"
"Disagree","No, I could login"
"Disagree","No, I don t want"
"Disagree","No, I don’t like"
"Disagree","No, I don’t remember my ID"
"Disagree","No, I don’t remember my pwd"
"Disagree","No, I forget my account"
"Disagree","No, I forgot my login ID"
"Disagree","No, I forgot my pwd for ID"
"Disagree","No, I just remember my login ID"
"Disagree","No, I lost my ID"
"Disagree","No, I lost my pwd"
"Disagree","No, I need to retrieve login ID"
"Disagree","No, I need to retrieve username"
"Disagree","No, I remembered and  login Starhub successfully"
"Disagree","No, I remembered full my hub ID"
"Disagree","No, I remembered my account.thanks"
"Disagree","No, I sure I remember"
"Disagree","No, I sure I remember password"
"Disagree","No, I sure about my ID is correct"
"Disagree","No, I sure about my pwd"
"Disagree","No, I think I don’t want to"
"Disagree","No, I think I saved it somewhere"
"Disagree","No, I want to recovery my password"
"Disagree","No, I want to retrieval my hub ID"
"Disagree","No, I will login later"
"Disagree","No, I would like to recovery of my password"
"Disagree","No, I would like to retrieval  of my ID"
"Disagree","No, I wouldn’t like"
"Disagree","No, I wouldn’t like show my ID in full"
"Disagree","No, please get my ID back"
"Disagree","No, please get my pwd back"
"Disagree","No, please provide my pwd"
"Disagree","No, pls provide my ID"
"Disagree","No, pls reset my pwd"
"Disagree","No, thanks I dont want to login now"
"Disagree","No, thanks I remembered by your suggestion"
"Disagree","No, thanks for suggestion"
"Disagree","No, thanks,I saved my pwd"
"Disagree","No, why my iD is incorrect"
"Disagree","No,I don’t know why my ID is noy correct"
"Disagree","No,I don’t know why my ID is noy correct"
"Disagree","Sorry,  I ve change my  mind, I need my ID"
"Disagree","Sorry,  I ve change my  mind, I need to reset my pwd"
"Disagree","Sorry, I don’t need recover pwd, pls assist to retrieve hub ID"
"Disagree","Sorry, I remembered my hub ID, pls help to recover my password"
"Disagree","Sorry, I remembered my pwd, pls help me with retrieve hub Id"
"Disagree","Sorry, I think I need to retrieve hub ID than password"
"Disagree","Sorry, I ve change my mind, I want to recover my pwd"
"Disagree","Sorry, I ve changed my mind, I want to retrieve my Hub iD"
"Disagree","Sorry, I want to change to recover  my pwd"
"Disagree","Sorry, I want to change to retrieve hub ID"
"Disagree","Sorry, I want to recover my pwd"
"Disagree","Sorry, I want to you assist to recover pwd"
"Disagree","Sorry, I want to you assist to retrieve hub ID"
"Disagree","Sorry, please assist me to get my hub ID back"
"Disagree","Sorry, please assist with recovering my password"
"Disagree","Sorry, pls get my pwd back"
"Disagree","Sorry, pls help me to reset my password"
"Disagree","Sorry, pls help to get my hub ID back"
"Disagree","absolutely no"
"Disagree","certainly not"
"Disagree","dissent"
"Disagree","dísagree"
"Disagree","hardly"
"Disagree","never"
"Disagree","nix"
"Disagree","no need, pls assist me now"
"Disagree","no need, thanks"
"Disagree","no way"
"Disagree","no, I cant wait"
"Disagree","no, I don’t like"
"Disagree","no, I don’t need"
"Disagree","no, I don’t need show hub ID in full because I remembered"
"Disagree","no, I don’t need support anything. Thanks"
"Disagree","no, I logined successfully"
"Disagree","no, I need recover immediately"
"Disagree","no, I need to be supported now"
"Disagree","no, I remembered my pwd and I dont want to login now"
"Disagree","no, I want to retrieve ID to login now"
"Disagree","no, Thanks for help"
"Disagree","no, someone can help me now"
"Disagree","no, thanks I don’t need agent"
"Disagree","no, thanks I need at the moment"
"Disagree","no, thanks I would like to talk with you"
"Disagree","no, you can help me right now"
"Disagree","no. pls help me right now"
"Disagree","not"
"Disagree","not at all"
"Disagree","not likely"
"Disagree","not really"
"Disagree","of course not"
"Disagree","refuse"
"Disagree","reject"
"Disagree","sorry"
"Forget_HubID","Can help check my starhub account please"
"Forget_HubID","Can u help me retrieval of my login ID?"
"Forget_HubID","Help me to recover my hubid"
"Forget_HubID","How I can retrieve my ID"
"Forget_HubID","How I can retrieve my starhub account"
"Forget_HubID","How to get my HubID"
"Forget_HubID","How to know my hubid and password?"
"Forget_HubID","How to know my hubid?"
"Forget_HubID","How to recover HubID"
"Forget_HubID","How to reset HubID"
"Forget_HubID","I am unable to reset my hub id"
"Forget_HubID","I can t access to my account"
"Forget_HubID","I can t log in"
"Forget_HubID","I can t recover my account"
"Forget_HubID","I can t seem to remember my login details"
"Forget_HubID","I cannot login"
"Forget_HubID","I cannot reset my hub id and password"
"Forget_HubID","I choose forgot my hub id"
"Forget_HubID","I couldn t recall my hubid"
"Forget_HubID","I don t know my hubid"
"Forget_HubID","I don t know my password and hubid"
"Forget_HubID","I don t remember my hubid"
"Forget_HubID","I don t remember my starhub id"
"Forget_HubID","I don’t remember  my username and password"
"Forget_HubID","I don’t remember ID"
"Forget_HubID","I forgot ID. Please help me get back"
"Forget_HubID","I forgot both my password and login ID"
"Forget_HubID","I forgot my hubid"
"Forget_HubID","I forgot my login credentials"
"Forget_HubID","I forgot starhub ID"
"Forget_HubID","I have forgotten my login details"
"Forget_HubID","I have problems reset my hub id"
"Forget_HubID","I m unable to log in"
"Forget_HubID","I need my ID please"
"Forget_HubID","I need my hubID"
"Forget_HubID","I select forgot my hubID"
"Forget_HubID","I want to get my ID back"
"Forget_HubID","I want to know my starhub ID"
"Forget_HubID","I want to recover my ID"
"Forget_HubID","I want to recover my hub ID"
"Forget_HubID","I want to retrieval of my Hub iD"
"Forget_HubID","I would like to retake my hubID"
"Forget_HubID","Please provide me my starhub id"
"Forget_HubID","Please recover my ID"
"Forget_HubID","Please reset my hub id account"
"Forget_HubID","Please send me my ID"
"Forget_HubID","Reset my hubid"
"Forget_HubID","Reset my login details"
"Forget_HubID","Send me my hubid"
"Forget_HubID","What is my hubid and password?"
"Forget_HubID","What is my hubid?"
"Forget_HubID","What is my starhub account?"
"Forget_HubID","What is my starhub id?"
"Forget_HubID","What is my starhub id?"
"Forget_HubID","You can provide me my starhub Id"
"Forget_HubID","assist me to reset hubid and password"
"Forget_HubID","can help check my hub id"
"Forget_HubID","can you help me recover my hubID"
"Forget_HubID","can you send me a new id and password."
"Forget_HubID","help me retrieve my ID"
"Forget_HubID","help me to reset my hubid n password"
"Forget_HubID","help me to retake my account"
"Forget_HubID","help me to retrieve my hub id"
"Forget_HubID","help to reset my id"
"Forget_HubID","how can i know what my hub id"
"Forget_HubID","how can i know what my hub id and reset my pasword?"
"Forget_HubID","how to retrieve my hubid"
"Forget_HubID","how to retrieve my starhub id and password"
"Forget_HubID","i am unable to access my hub id and password"
"Forget_HubID","i can t  remember the account name or password"
"Forget_HubID","i don t remember my starhub id and password"
"Forget_HubID","i forgot my hub id and password.please get back to me"
"Forget_HubID","i forgot my hub id, can help me to retrieve it"
"Forget_HubID","i have forgotten my hub id and password"
"Forget_HubID","i have lost my hub id and password"
"Forget_HubID","i have problem login in to my hub id. how can i retrieve my hub id and password?"
"Forget_HubID","i totally forgot what is my hub id"
"Forget_HubID","i would like  to reset my existing id"
"Forget_HubID","kindly re-issue my hub id and password"
"Forget_HubID","my hubid is wrong"
"Forget_HubID","need access to my account"
"Forget_HubID","need recover account"
"Forget_HubID","please assist me to retrieve my ID"
"Forget_HubID","please assist to reset my ID"
"Forget_HubID","please assist to reset my hub id and password"
"Forget_HubID","please help me retake account"
"Forget_HubID","please help me retake my hubId"
"Forget_HubID","please help to get back my starhub account"
"Forget_HubID","please provide me my account"
"Forget_HubID","please re-issue my hub id and password"
"Forget_HubID","please retrieval of my account"
"Forget_HubID","please send me my hub id"
"Forget_HubID","provide me my hubid and password"
"Forget_HubID","request my hub id"
"Forget_HubID","request you to reset my hub id and password"
"Forget_HubID","reset hub id and password"
"Forget_HubID","reset hubid"
"Forget_HubID","reset my hub id login"
"Forget_HubID","what is my ID?"
"Forget_HubID","what is my account?"
"Forget_HubID","what is my login ID?"
"Forget_HubID","what is my username to login?"
"Forget_HubID","you can assist me to retrieve my hub id account & password"
"Forget_HubID","you can help me retrieve my hubID"
"Forget_HubID","you can help me to recover starhub account"
"Forget_HubID","you can help to retrieve my username"
"Greetings","Can I ask you something"
"Greetings","Can you help me with something?"
"Greetings","Can you help me?"
"Greetings","Hello"
"Greetings","Hello Starhub"
"Greetings","Hello, nice to meet you"
"Greetings","Help"
"Greetings","Hi"
"Greetings","Hi starhub"
"Greetings","Hi there"
"Greetings","How are you?"
"Greetings","I  d be glad to talk to you"
"Greetings","I am happy to talk to you, I need you help"
"Greetings","I have a question"
"Greetings","I have questions"
"Greetings","I need assistance"
"Greetings","I need help"
"Greetings","I need supporer"
"Greetings","I need to assist"
"Greetings","I need to support please"
"Greetings","It  s good to see you"
"Greetings","It  s nice to meet you"
"Greetings","It  s pleasure to meet you"
"Greetings","It s good to see you"
"Greetings","Please assist"
"Greetings","Please help"
"Greetings","Please help me do some thing"
"Greetings","Pleased to meet you"
"Greetings","You can help me?"
"Greetings","anybody there ?"
"Greetings","anyone there ?"
"Greetings","good afternoon"
"Greetings","good evening"
"Greetings","good morning"
"Greetings","help please"
"Greetings","help pls"
"Greetings","nice to see you"
"Greetings","pls help"
"Greetings","what do you support for me?"
"Reset_Or_Forgot_Password","Can t remember password"
"Reset_Or_Forgot_Password","Can you help me to retrieve my password"
"Reset_Or_Forgot_Password","Cannot reset password"
"Reset_Or_Forgot_Password","Forgot starhub password"
"Reset_Or_Forgot_Password","Help me to reset my pwd"
"Reset_Or_Forgot_Password","I  want tp retrieval of my hub id"
"Reset_Or_Forgot_Password","I am unable to change password"
"Reset_Or_Forgot_Password","I am unable to reset my password"
"Reset_Or_Forgot_Password","I can t find my password"
"Reset_Or_Forgot_Password","I can t login because I forgot password"
"Reset_Or_Forgot_Password","I can t seem to remember my password"
"Reset_Or_Forgot_Password","I cannot find my password"
"Reset_Or_Forgot_Password","I cannot login because I forgot my password"
"Reset_Or_Forgot_Password","I cannot remember my account password"
"Reset_Or_Forgot_Password","I cannot remember my password"
"Reset_Or_Forgot_Password","I cannot reset account password"
"Reset_Or_Forgot_Password","I choose forgot my password"
"Reset_Or_Forgot_Password","I couldn t recall my password"
"Reset_Or_Forgot_Password","I don’t know my password"
"Reset_Or_Forgot_Password","I don’t remember pwd"
"Reset_Or_Forgot_Password","I forget my password please help me reset password"
"Reset_Or_Forgot_Password","I forgot my account password"
"Reset_Or_Forgot_Password","I forgot my password"
"Reset_Or_Forgot_Password","I forgot my password. Resend me"
"Reset_Or_Forgot_Password","I forgot pw"
"Reset_Or_Forgot_Password","I had forgotten my password to log into my account"
"Reset_Or_Forgot_Password","I have forgotten my starhub password"
"Reset_Or_Forgot_Password","I have problem to reset pwd"
"Reset_Or_Forgot_Password","I have problems reset password"
"Reset_Or_Forgot_Password","I have some issues with my password"
"Reset_Or_Forgot_Password","I lost pw"
"Reset_Or_Forgot_Password","I lost pwd, please help me"
"Reset_Or_Forgot_Password","I need new password"
"Reset_Or_Forgot_Password","I need to recover password"
"Reset_Or_Forgot_Password","I need to reset password"
"Reset_Or_Forgot_Password","I need to reset pwd"
"Reset_Or_Forgot_Password","I want to change my password"
"Reset_Or_Forgot_Password","I want to change pwd"
"Reset_Or_Forgot_Password","I want to recover my  pwd"
"Reset_Or_Forgot_Password","I want to recover my passsword"
"Reset_Or_Forgot_Password","I want to reset my pwd"
"Reset_Or_Forgot_Password","I would like to recovery my pwd"
"Reset_Or_Forgot_Password","I would like to reset my password"
"Reset_Or_Forgot_Password","I would like to reset pwd"
"Reset_Or_Forgot_Password","Issue me a new password"
"Reset_Or_Forgot_Password","Need help resetting password"
"Reset_Or_Forgot_Password","Reset my password"
"Reset_Or_Forgot_Password","Reset my password for me"
"Reset_Or_Forgot_Password","Retrieve my password for me"
"Reset_Or_Forgot_Password","Send me new password"
"Reset_Or_Forgot_Password","assist me to reset password"
"Reset_Or_Forgot_Password","can t find pw"
"Reset_Or_Forgot_Password","can you help me recover my password"
"Reset_Or_Forgot_Password","can you help me reset my password"
"Reset_Or_Forgot_Password","can you kindly help me reset it or send my password."
"Reset_Or_Forgot_Password","can you send me a new password."
"Reset_Or_Forgot_Password","cannot change my password"
"Reset_Or_Forgot_Password","forgot password for my acoount"
"Reset_Or_Forgot_Password","get my pwd back please"
"Reset_Or_Forgot_Password","help me recover my pwd for hub ID"
"Reset_Or_Forgot_Password","help me remember my account password"
"Reset_Or_Forgot_Password","help me retrieve my password"
"Reset_Or_Forgot_Password","help me to reset pwd"
"Reset_Or_Forgot_Password","how I can recover my pwd for hub ID"
"Reset_Or_Forgot_Password","how to change my password"
"Reset_Or_Forgot_Password","how to reset my password"
"Reset_Or_Forgot_Password","i forgot password.please get back to me"
"Reset_Or_Forgot_Password","may i know how do i reset my hub id password?"
"Reset_Or_Forgot_Password","my password is wrong"
"Reset_Or_Forgot_Password","need my password back"
"Reset_Or_Forgot_Password","need my pw back"
"Reset_Or_Forgot_Password","need my pw back"
"Reset_Or_Forgot_Password","need my pwd back"
"Reset_Or_Forgot_Password","please assist as i  ve forgotten my hub password"
"Reset_Or_Forgot_Password","please help me retake my password"
"Reset_Or_Forgot_Password","please help me retrieve my pwd"
"Reset_Or_Forgot_Password","please send me a new password"
"Reset_Or_Forgot_Password","please send me my password"
"Reset_Or_Forgot_Password","pls assist me recovery of my password for hub ID"
"Reset_Or_Forgot_Password","provide me my pwd"
"Reset_Or_Forgot_Password","recover my password"
"Reset_Or_Forgot_Password","recover pw"
"Reset_Or_Forgot_Password","request for password reset"
"Reset_Or_Forgot_Password","request new password"
"Reset_Or_Forgot_Password","request to reset hub id account"
"Reset_Or_Forgot_Password","reset for hub id password"
"Reset_Or_Forgot_Password","reset pw"
"Reset_Or_Forgot_Password","send me new pwd please"
"Reset_Or_Forgot_Password","unable to log in with new password"
"Reset_Or_Forgot_Password","what is my password"
"Reset_Or_Forgot_Password","what is my pwd?"
"Reset_Or_Forgot_Password","you can assist me to retrieve my password"
"Reset_Or_Forgot_Password","you can assist me to retrieve my pwd"
"Reset_Or_Forgot_Password","you can recover password for me"
"Thanks","Cheers"
"Thanks","I am very thankful that you are considering my problem"
"Thanks","I found in junk email"
"Thanks","I mean Thank you"
"Thanks","I really appreciate your help"
"Thanks","I received new pwd. Thank a lot.Good  bye"
"Thanks","I said Thank you"
"Thanks","I was so pleased to hear from you"
"Thanks","It is Ok, I  ve been login to starhub portal already,thanks"
"Thanks","It means Thank you"
"Thanks","Many thanks"
"Thanks","Many thanks fro your email"
"Thanks","Many thanks. I get new password"
"Thanks","Sincerely thanks"
"Thanks","Thank a lot, I received your email"
"Thanks","Thank you"
"Thanks","Thank you for all your assistance"
"Thanks","Thank you for everything you  ve done"
"Thanks","Thank you for spending time with me"
"Thanks","Thank you for the information"
"Thanks","Thank you for your prompt reply"
"Thanks","Thank you so much"
"Thanks","Thank you so much for helping"
"Thanks","Thank you so much. I check emal later.by"
"Thanks","Thank you so much. I discovered in spam emal"
"Thanks","Thank you very much"
"Thanks","Thank you, without you support, I wouldn t have been able to reset password"
"Thanks","Thank you. I got new email"
"Thanks","Thank you. I received your email"
"Thanks","Thank you. It is all"
"Thanks","Thanks"
"Thanks","Thanks a lot"
"Thanks","Thanks for helping"
"Thanks","Thanks for talking to me"
"Thanks","Thanks for your help and good bye"
"Thanks","Thanks for your remind"
"Thanks","Thanks, I discovered in junk mail"
"Thanks","Thanks, I received new password"
"Thanks","Thanks, I will check later.bye"
"Thanks","Thanks. It is ok"
"Thanks","That is great. Cheers"
"Thanks","That s very kind of you"
"Thanks","Tks and bye"
"Thanks","Tks and good bye"
"Thanks","Tks for your support"
"Thanks","it is all, thanks for help"
"Thanks","no need, I will check your email later.thanks"
"Thanks","thank u"
"Thanks","thanks, I found in spam email"
"Thanks","tks"
"Thanks","tks for your assistance"
"Thanks","tks, I found in trash folder"
